  # Astr silicate from Weingartner & Draine (2001), extended to X-rays by V.Z.
  # lamda [mu]         n - 1              k
  1.84961874e-01  9.24506548e-01  1.20937074e-01
  1.85776772e-01  9.22085728e-01  1.17784686e-01
  1.86595260e-01  9.19643211e-01  1.14669299e-01
  1.87417354e-01  9.17189126e-01  1.11593636e-01
  1.88243071e-01  9.14703404e-01  1.08531463e-01
  1.89072425e-01  9.12197735e-01  1.05549325e-01
  1.89905433e-01  9.09693611e-01  1.02591198e-01
  1.90742111e-01  9.07164963e-01  9.96573878e-02
  1.91582475e-01  9.04617554e-01  9.67744983e-02
  1.92426542e-01  9.02038536e-01  9.39042544e-02
  1.93274328e-01  8.99425367e-01  9.11064843e-02
  1.94125848e-01  8.96807280e-01  8.83579288e-02
  1.94981121e-01  8.94150574e-01  8.56215536e-02
  1.95840161e-01  8.91474631e-01  8.29915726e-02
  1.96702986e-01  8.88797747e-01  8.03731279e-02
  1.97569613e-01  8.86083836e-01  7.78011221e-02
  1.98440057e-01  8.83354254e-01  7.52973452e-02
  1.99314337e-01  8.80580793e-01  7.28045509e-02
  2.00192469e-01  8.77776455e-01  7.04384798e-02
  2.01074469e-01  8.74985939e-01  6.81204816e-02
  2.01960355e-01  8.72159615e-01  6.58313688e-02
  2.02850144e-01  8.69329254e-01  6.36713524e-02
  2.03743854e-01  8.66505774e-01  6.15208107e-02
  2.04641501e-01  8.63657905e-01  5.94518625e-02
  2.05543102e-01  8.60823758e-01  5.74572085e-02
  2.06448676e-01  8.57968226e-01  5.54713040e-02
  2.07358240e-01  8.55094659e-01  5.35993135e-02
  2.08271811e-01  8.52203201e-01  5.17472759e-02
  2.09189407e-01  8.49235875e-01  4.99956475e-02
  2.10111046e-01  8.46312149e-01  4.84858561e-02
  2.11036745e-01  8.43437969e-01  4.69826874e-02
  2.11966523e-01  8.40631050e-01  4.57279811e-02
  2.12900397e-01  8.38079617e-01  4.46016720e-02
  2.13838385e-01  8.35947967e-01  4.34476963e-02
  2.14780506e-01  8.33815057e-01  4.15345996e-02
  2.15726778e-01  8.31321965e-01  3.96298945e-02
  2.16677219e-01  8.28646815e-01  3.77319784e-02
  2.17631847e-01  8.25783317e-01  3.58402985e-02
