  # aC, type ACH2, V. Zubko et al. (1996), extended to X-rays by V. Zubko
  # lamda [mu]         n - 1             k
  1.84961874e-01  3.62819835e-01  4.62709451e-01
  1.85776772e-01  3.63433054e-01  4.62651237e-01
  1.86595260e-01  3.63949052e-01  4.62600294e-01
  1.87417354e-01  3.64394067e-01  4.62753894e-01
  1.88243071e-01  3.64764607e-01  4.62923003e-01
  1.89072425e-01  3.65098403e-01  4.63363894e-01
  1.89905433e-01  3.65375142e-01  4.63805479e-01
  1.90742111e-01  3.65662650e-01  4.64645457e-01
  1.91582475e-01  3.66043086e-01  4.65512526e-01
  1.92426542e-01  3.66516065e-01  4.66658596e-01
  1.93274328e-01  3.67115511e-01  4.67819043e-01
  1.94125848e-01  3.67831852e-01  4.69176329e-01
  1.94981121e-01  3.68685126e-01  4.70544343e-01
  1.95840161e-01  3.69679512e-01  4.72065545e-01
  1.96702986e-01  3.70849536e-01  4.73589323e-01
  1.97569613e-01  3.72184791e-01  4.75174654e-01
  1.98440057e-01  3.73715884e-01  4.76740800e-01
  1.99314337e-01  3.75404310e-01  4.78236292e-01
  2.00192469e-01  3.77244278e-01  4.79680242e-01
  2.01074469e-01  3.79170618e-01  4.80957611e-01
  2.01960355e-01  3.81148211e-01  4.82209100e-01
  2.02850144e-01  3.83193153e-01  4.83363364e-01
  2.03743854e-01  3.85298744e-01  4.84473018e-01
  2.04641501e-01  3.87454252e-01  4.85472415e-01
  2.05543102e-01  3.89651099e-01  4.86417728e-01
  2.06448676e-01  3.91854982e-01  4.87224267e-01
  2.07358240e-01  3.94040296e-01  4.88002347e-01
  2.08271811e-01  3.96226005e-01  4.88714158e-01
  2.09189407e-01  3.98411784e-01  4.89394331e-01
  2.10111046e-01  4.00598203e-01  4.90009627e-01
  2.11036745e-01  4.02774434e-01  4.90578547e-01
  2.11966523e-01  4.04906325e-01  4.91068583e-01
  2.12900397e-01  4.06979440e-01  4.91568063e-01
  2.13838385e-01  4.09044965e-01  4.92089799e-01
  2.14780506e-01  4.11112680e-01  4.92581515e-01
  2.15726778e-01  4.13132358e-01  4.93030144e-01
  2.16677219e-01  4.15093180e-01  4.93519925e-01
  2.17631847e-01  4.17046994e-01  4.94073082e-01
  2.18590681e-01  4.19011946e-01  4.94648450e-01
  2.19553740e-01  4.20979445e-01  4.95257121e-01
  2.20521041e-01  4.22957644e-01  4.95912322e-01
  2.21492605e-01  4.24969362e-01  4.96628480e-01
  2.22468448e-01  4.27040280e-01  4.97397021e-01
  2.23448591e-01  4.29216874e-01  4.98222331e-01
  2.24433053e-01  4.31500920e-01  4.99002403e-01
  2.25421851e-01  4.33847503e-01  4.99743809e-01
  2.26415006e-01  4.36251126e-01  5.00462869e-01
  2.27412537e-01  4.38726909e-01  5.01161045e-01
  2.28414462e-01  4.41279140e-01  5.01810685e-01
  2.29420802e-01  4.43922638e-01  5.02414387e-01
  2.30431575e-01  4.46638091e-01  5.02887237e-01
  2.31446802e-01  4.49372025e-01  5.03242441e-01
  2.32466502e-01  4.52094821e-01  5.03485499e-01
  2.33490694e-01  4.54782493e-01  5.03639022e-01
  2.34519398e-01  4.57429435e-01  5.03731152e-01
  2.35552635e-01  4.60058606e-01  5.03782754e-01
  2.36590424e-01  4.62650336e-01  5.03733854e-01
  2.37632785e-01  4.65159877e-01  5.03634718e-01
  2.38679738e-01  4.67600747e-01  5.03534878e-01
  2.39731304e-01  4.69997108e-01  5.03434860e-01
  2.40787503e-01  4.72357263e-01  5.03334139e-01
  2.41848356e-01  4.74685160e-01  5.03233248e-01
  2.42913882e-01  4.76981269e-01  5.03131623e-01
  2.43984103e-01  4.79235974e-01  5.03029865e-01
  2.45059039e-01  4.81460091e-01  5.02963658e-01
  2.46138710e-01  4.83664788e-01  5.02912349e-01
  2.47223139e-01  4.85859041e-01  5.02900000e-01
  2.48312345e-01  4.88047482e-01  5.02900000e-01
  2.49406350e-01  4.90233279e-01  5.02938597e-01
  2.50505175e-01  4.92411292e-01  5.02990793e-01
  2.51608841e-01  4.94608121e-01  5.03124569e-01
  2.52717370e-01  4.96861455e-01  5.03275295e-01
  2.53830783e-01  4.99156753e-01  5.03427560e-01
  2.54949101e-01  5.01486011e-01  5.03579588e-01
  2.56072346e-01  5.03848849e-01  5.03733228e-01
  2.57200540e-01  5.06249182e-01  5.03886548e-01
  2.58333704e-01  5.08690893e-01  5.04035492e-01
  2.59471861e-01  5.11198264e-01  5.04183426e-01
  2.60615032e-01  5.13740543e-01  5.04244349e-01
  2.61763240e-01  5.16289977e-01  5.04294103e-01
  2.62916506e-01  5.18852066e-01  5.04300000e-01
  2.64074854e-01  5.21428793e-01  5.04300000e-01
  2.65238305e-01  5.24013270e-01  5.04250292e-01
  2.66406882e-01  5.26592481e-01  5.04199711e-01
  2.67580607e-01  5.29188851e-01  5.04150584e-01
  2.68759503e-01  5.31826447e-01  5.04101673e-01
  2.69943594e-01  5.34490956e-01  5.04000131e-01
  2.71132901e-01  5.37176998e-01  5.03895852e-01
  2.72327448e-01  5.39886237e-01  5.03745908e-01
  2.73527258e-01  5.42623864e-01  5.03595418e-01
  2.74732354e-01  5.45393471e-01  5.03393735e-01
  2.75942759e-01  5.48211402e-01  5.03189219e-01
  2.77158497e-01  5.51063991e-01  5.02884080e-01
  2.78379592e-01  5.53957031e-01  5.02569904e-01
  2.79606066e-01  5.56869350e-01  5.02108309e-01
  2.80837944e-01  5.59788797e-01  5.01627666e-01
  2.82075249e-01  5.62690537e-01  5.00982019e-01
  2.83318005e-01  5.65551760e-01  5.00325653e-01
  2.84566237e-01  5.68371066e-01  4.99543000e-01
  2.85819968e-01  5.71123332e-01  4.98749228e-01
  2.87079223e-01  5.73817753e-01  4.97890552e-01
  2.88344025e-01  5.76443672e-01  4.97032764e-01
  2.89614400e-01  5.79020492e-01  4.96166703e-01
  2.90890373e-01  5.81552028e-01  4.95308633e-01
  2.92171966e-01  5.84056493e-01  4.94468559e-01
  2.93459206e-01  5.86544460e-01  4.93632841e-01
  2.94752118e-01  5.89016751e-01  4.92803450e-01
  2.96050725e-01  5.91477503e-01  4.91982529e-01
  2.97355054e-01  5.93940547e-01  4.91178268e-01
  2.98665130e-01  5.96418072e-01  4.90373623e-01
  2.99980978e-01  5.98916953e-01  4.89562383e-01
  3.01302622e-01  6.01441899e-01  4.88719228e-01
  3.02630090e-01  6.03945240e-01  4.87798802e-01
  3.03963406e-01  6.06406694e-01  4.86888789e-01
  3.05302596e-01  6.08871167e-01  4.85994736e-01
  3.06647687e-01  6.11355423e-01  4.85082647e-01
  3.07998704e-01  6.13841458e-01  4.84130542e-01
  3.09355673e-01  6.16323814e-01  4.83160016e-01
  3.10718620e-01  6.18798523e-01  4.82149053e-01
  3.12087572e-01  6.21260482e-01  4.81118089e-01
  3.13462556e-01  6.23700874e-01  4.80047475e-01
  3.14843597e-01  6.26116601e-01  4.78974306e-01
  3.16230723e-01  6.28530247e-01  4.77894673e-01
  3.17623961e-01  6.30942911e-01  4.76783949e-01
  3.19023336e-01  6.33331208e-01  4.75633928e-01
  3.20428877e-01  6.35691011e-01  4.74479922e-01
  3.21840610e-01  6.38036489e-01  4.73319830e-01
  3.23258563e-01  6.40375419e-01  4.72155454e-01
  3.24682764e-01  6.42727049e-01  4.70985379e-01
  3.26113239e-01  6.45082878e-01  4.69759105e-01
  3.27550016e-01  6.47392986e-01  4.68476533e-01
  3.28993123e-01  6.49657173e-01  4.67211894e-01
  3.30442589e-01  6.51922475e-01  4.65962888e-01
  3.31898440e-01  6.54190794e-01  4.64679624e-01
  3.33360706e-01  6.56437302e-01  4.63369273e-01
  3.34829414e-01  6.58661941e-01  4.62051789e-01
  3.36304592e-01  6.60883088e-01  4.60730156e-01
  3.37786270e-01  6.63095198e-01  4.59369933e-01
  3.39274476e-01  6.65278825e-01  4.57985856e-01
  3.40769239e-01  6.67433235e-01  4.56589986e-01
  3.42270587e-01  6.69565839e-01  4.55190553e-01
  3.43778550e-01  6.71679921e-01  4.53781317e-01
  3.45293156e-01  6.73778442e-01  4.52369639e-01
  3.46814435e-01  6.75863641e-01  4.50947773e-01
  3.48342417e-01  6.77939510e-01  4.49523960e-01
  3.49877131e-01  6.80009498e-01  4.48086535e-01
  3.51418606e-01  6.82092518e-01  4.46646980e-01
  3.52966873e-01  6.84164663e-01  4.45127284e-01
  3.54521961e-01  6.86171750e-01  4.43575243e-01
  3.56083900e-01  6.88130779e-01  4.42048125e-01
  3.57652721e-01  6.90068806e-01  4.40533490e-01
  3.59228454e-01  6.92002772e-01  4.39042004e-01
  3.60811129e-01  6.93972126e-01  4.37561726e-01
  3.62400777e-01  6.95944156e-01  4.35992930e-01
  3.63997429e-01  6.97869890e-01  4.34400246e-01
  3.65601115e-01  6.99754554e-01  4.32792128e-01
  3.67211866e-01  7.01598122e-01  4.31185849e-01
  3.68829714e-01  7.03422019e-01  4.29605307e-01
  3.70454690e-01  7.05262437e-01  4.28035748e-01
  3.72086825e-01  7.07094806e-01  4.26406416e-01
  3.73726151e-01  7.08892570e-01  4.24772441e-01
  3.75372700e-01  7.10659940e-01  4.23120131e-01
  3.77026502e-01  7.12389924e-01  4.21472059e-01
  3.78687591e-01  7.14105103e-01  4.19850583e-01
  3.80355999e-01  7.15841310e-01  4.18238479e-01
  3.82031757e-01  7.17568942e-01  4.16561153e-01
  3.83714898e-01  7.19262534e-01  4.14884389e-01
  3.85405454e-01  7.20930204e-01  4.13187070e-01
  3.87103459e-01  7.22574943e-01  4.11495717e-01
  3.88808945e-01  7.24197300e-01  4.09784057e-01
  3.90521944e-01  7.25796836e-01  4.08077866e-01
  3.92242491e-01  7.27369968e-01  4.06350146e-01
  3.93970618e-01  7.28905591e-01  4.04630803e-01
  3.95706359e-01  7.30427955e-01  4.02937741e-01
  3.97449747e-01  7.31968676e-01  4.01249833e-01
  3.99200816e-01  7.33488307e-01  3.99491970e-01
  4.00959600e-01  7.34950724e-01  3.97743669e-01
  4.02726132e-01  7.36387991e-01  3.96021588e-01
  4.04500448e-01  7.37813574e-01  3.94309097e-01
  4.06282580e-01  7.39243401e-01  3.92620109e-01
  4.08072565e-01  7.40711171e-01  3.90926028e-01
  4.09870435e-01  7.42154295e-01  3.89122211e-01
  4.11676227e-01  7.43522536e-01  3.87329278e-01
  4.13489974e-01  7.44860531e-01  3.85560660e-01
  4.15311713e-01  7.46186112e-01  3.83794546e-01
  4.17141477e-01  7.47479986e-01  3.82010728e-01
  4.18979303e-01  7.48728974e-01  3.80248689e-01
  4.20825226e-01  7.49981352e-01  3.78548032e-01
  4.22679282e-01  7.51272237e-01  3.76838402e-01
  4.24541506e-01  7.52560057e-01  3.75072372e-01
  4.26411935e-01  7.53827163e-01  3.73296108e-01
  4.28290604e-01  7.55049020e-01  3.71463970e-01
  4.30177551e-01  7.56203199e-01  3.69656753e-01
  4.32072811e-01  7.57348459e-01  3.67907298e-01
  4.33976421e-01  7.58513884e-01  3.66145984e-01
  4.35888418e-01  7.59647125e-01  3.64333888e-01
  4.37808838e-01  7.60727008e-01  3.62549500e-01
  4.39737720e-01  7.61808424e-01  3.60815504e-01
  4.41675099e-01  7.62914760e-01  3.59066436e-01
  4.43621015e-01  7.64006077e-01  3.57271319e-01
  4.45575503e-01  7.65064140e-01  3.55471946e-01
  4.47538603e-01  7.66087059e-01  3.53657502e-01
  4.49510351e-01  7.67072322e-01  3.51857981e-01
  4.51490787e-01  7.68037643e-01  3.50078724e-01
  4.53479948e-01  7.68993788e-01  3.48312700e-01
  4.55477873e-01  7.69961530e-01  3.46562840e-01
  4.57484600e-01  7.70939064e-01  3.44770823e-01
  4.59500168e-01  7.71852314e-01  3.42909043e-01
  4.61524616e-01  7.72689990e-01  3.41105262e-01
  4.63557984e-01  7.73536365e-01  3.39368671e-01
  4.65600310e-01  7.74406656e-01  3.37606984e-01
  4.67651634e-01  7.75250646e-01  3.35811531e-01
  4.69711996e-01  7.76058907e-01  3.34030422e-01
  4.71781435e-01  7.76854989e-01  3.32263828e-01
  4.73859992e-01  7.77640276e-01  3.30489324e-01
  4.75947706e-01  7.78399437e-01  3.28707557e-01
  4.78044618e-01  7.79133860e-01  3.26940054e-01
  4.80150769e-01  7.79860473e-01  3.25185669e-01
  4.82266199e-01  7.80579223e-01  3.23422053e-01
  4.84390949e-01  7.81281337e-01  3.21652395e-01
  4.86525060e-01  7.81961293e-01  3.19872874e-01
  4.88668574e-01  7.82609201e-01  3.18088079e-01
  4.90821531e-01  7.83228946e-01  3.16317808e-01
  4.92983974e-01  7.83836709e-01  3.14559513e-01
  4.95155944e-01  7.84428690e-01  3.12789762e-01
  4.97337483e-01  7.84989242e-01  3.11016239e-01
  4.99528634e-01  7.85521437e-01  3.09256827e-01
  5.01729438e-01  7.86037515e-01  3.07508512e-01
  5.03939939e-01  7.86533309e-01  3.05754982e-01
  5.06160178e-01  7.86990825e-01  3.04002248e-01
  5.08390199e-01  7.87425421e-01  3.02291640e-01
  5.10630046e-01  7.87875188e-01  3.00602391e-01
  5.12879760e-01  7.88321062e-01  2.98872564e-01
  5.15139386e-01  7.88725188e-01  2.97129973e-01
  5.17408968e-01  7.89092087e-01  2.95401815e-01
  5.19688548e-01  7.89431075e-01  2.93683465e-01
  5.21978172e-01  7.89744302e-01  2.91978594e-01
  5.24277884e-01  7.90030172e-01  2.90282910e-01
  5.26587727e-01  7.90293223e-01  2.88610651e-01
  5.28907748e-01  7.90537778e-01  2.86950395e-01
  5.31237989e-01  7.90770252e-01  2.85314751e-01
  5.33578497e-01  7.91013859e-01  2.83690923e-01
  5.35929317e-01  7.91233876e-01  2.82009027e-01
  5.38290494e-01  7.91365652e-01  2.80320267e-01
  5.40662074e-01  7.91457721e-01  2.78733272e-01
  5.43044102e-01  7.91563480e-01  2.77167402e-01
  5.45436625e-01  7.91667910e-01  2.75613358e-01
  5.47839689e-01  7.91770481e-01  2.74066724e-01
  5.50253341e-01  7.91854683e-01  2.72502612e-01
  5.52677626e-01  7.91898542e-01  2.70942427e-01
  5.55112592e-01  7.91911536e-01  2.69410684e-01
  5.57558286e-01  7.91889968e-01  2.67887831e-01
  5.60014755e-01  7.91849589e-01  2.66423718e-01
  5.62482047e-01  7.91805564e-01  2.64969215e-01
  5.64960209e-01  7.91754362e-01  2.63545246e-01
  5.67449289e-01  7.91706716e-01  2.62128730e-01
  5.69949335e-01  7.91638931e-01  2.60694361e-01
  5.72460396e-01  7.91520829e-01  2.59267104e-01
  5.74982520e-01  7.91377034e-01  2.57899575e-01
  5.77515757e-01  7.91216775e-01  2.56540478e-01
  5.80060154e-01  7.91046784e-01  2.55238139e-01
  5.82615760e-01  7.90881431e-01  2.53941635e-01
  5.85182627e-01  7.90698758e-01  2.52653375e-01
  5.87760802e-01  7.90478473e-01  2.51378618e-01
  5.90350336e-01  7.90249757e-01  2.50179224e-01
  5.92951279e-01  7.90034818e-01  2.48985752e-01
  5.95563682e-01  7.89808142e-01  2.47803687e-01
  5.98187593e-01  7.89553024e-01  2.46637791e-01
  6.00823065e-01  7.89295428e-01  2.45540387e-01
  6.03470149e-01  7.89053264e-01  2.44449321e-01
  6.06128895e-01  7.88805145e-01  2.43372411e-01
  6.08799354e-01  7.88539795e-01  2.42310079e-01
  6.11481579e-01  7.88268813e-01  2.41295245e-01
  6.14175622e-01  7.87997961e-01  2.40295876e-01
  6.16881533e-01  7.87732011e-01  2.39341422e-01
  6.19599366e-01  7.87477134e-01  2.38398663e-01
  6.22329174e-01  7.87234427e-01  2.37486583e-01
  6.25071008e-01  7.87007917e-01  2.36574638e-01
  6.27824922e-01  7.86772729e-01  2.35654768e-01
  6.30590969e-01  7.86515238e-01  2.34753693e-01
  6.33369203e-01  7.86252567e-01  2.33893429e-01
  6.36159677e-01  7.85991926e-01  2.33052548e-01
  6.38962445e-01  7.85739326e-01  2.32250414e-01
  6.41777561e-01  7.85500749e-01  2.31463209e-01
  6.44605080e-01  7.85281106e-01  2.30704650e-01
  6.47445057e-01  7.85084124e-01  2.29945040e-01
  6.50297546e-01  7.84892893e-01  2.29179981e-01
  6.53162602e-01  7.84699354e-01  2.28418383e-01
  6.56040281e-01  7.84497932e-01  2.27660303e-01
  6.58930638e-01  7.84286375e-01  2.26920374e-01
  6.61833729e-01  7.84073573e-01  2.26206765e-01
  6.64749611e-01  7.83867995e-01  2.25517997e-01
  6.67678340e-01  7.83691090e-01  2.24861201e-01
  6.70619972e-01  7.83543018e-01  2.24184648e-01
  6.73574564e-01  7.83384653e-01  2.23483250e-01
  6.76542173e-01  7.83208621e-01  2.22802275e-01
  6.79522857e-01  7.83039880e-01  2.22145296e-01
  6.82516672e-01  7.82881199e-01  2.21485801e-01
  6.85523678e-01  7.82713035e-01  2.20823192e-01
  6.88543933e-01  7.82538742e-01  2.20189215e-01
  6.91577493e-01  7.82389359e-01  2.19582618e-01
  6.94624419e-01  7.82260966e-01  2.18951582e-01
  6.97684769e-01  7.82115601e-01  2.18299581e-01
  7.00758602e-01  7.81952558e-01  2.17671650e-01
  7.03845977e-01  7.81797545e-01  2.17064569e-01
  7.06946955e-01  7.81652146e-01  2.16454220e-01
  7.10061595e-01  7.81505603e-01  2.15841953e-01
  7.13189958e-01  7.81355459e-01  2.15231991e-01
  7.16332103e-01  7.81201814e-01  2.14624457e-01
  7.19488091e-01  7.81043785e-01  2.14019046e-01
  7.22657985e-01  7.80881346e-01  2.13415974e-01
  7.25841844e-01  7.80709478e-01  2.12808796e-01
  7.29039730e-01  7.80512829e-01  2.12200505e-01
  7.32251706e-01  7.80301158e-01  2.11628030e-01
