  Water ice, from Warren (1984), extended to X-rays by V. Zubko
  # lamda [mu]         n - 1              k
  1.84554231e-04  -4.71820000e-06  2.30958000e-08
  1.87126764e-04  -4.85142000e-06  2.44454000e-08
  1.89735196e-04  -4.98841000e-06  2.58734000e-08
  1.92380105e-04  -5.12928000e-06  2.73833000e-08
  1.95061787e-04  -5.27415000e-06  2.89802000e-08
  1.97780840e-04  -5.42312000e-06  3.06689000e-08
  2.00537891e-04  -5.57632000e-06  3.24552000e-08
  2.03333257e-04  -5.73386000e-06  3.43446000e-08
  2.06167591e-04  -5.89586000e-06  3.63419000e-08
  2.09041574e-04  -6.06248000e-06  3.84552000e-08
  2.11955195e-04  -6.23381000e-06  4.06894000e-08
  2.14909882e-04  -6.41001000e-06  4.30518000e-08
  2.17905649e-04  -6.59121000e-06  4.55496000e-08
  2.20943249e-04  -6.77755000e-06  4.81906000e-08
  2.24022664e-04  -6.96918000e-06  5.09829000e-08
  2.27145487e-04  -7.16625000e-06  5.39358000e-08
  2.30311732e-04  -7.36892000e-06  5.70581000e-08
  2.33522245e-04  -7.57735000e-06  6.03581000e-08
  2.36777462e-04  -7.79170000e-06  6.38472000e-08
  2.40077815e-04  -8.01213000e-06  6.75351000e-08
  2.43424690e-04  -8.23884000e-06  7.14339000e-08
  2.46817613e-04  -8.47198000e-06  7.55558000e-08
  2.50258523e-04  -8.71174000e-06  7.99128000e-08
  2.53746932e-04  -8.95833000e-06  8.45176000e-08
  2.57283837e-04  -9.21194000e-06  8.93847000e-08
  2.60870296e-04  -9.47276000e-06  9.45288000e-08
  2.64506865e-04  -9.74098000e-06  9.99655000e-08
  2.68193523e-04  -1.00168000e-05  1.05712000e-07
  2.71931976e-04  -1.03005000e-05  1.11783000e-07
  2.75722842e-04  -1.05923000e-05  1.18200000e-07
  2.79566115e-04  -1.08924000e-05  1.24982000e-07
  2.83463021e-04  -1.12010000e-05  1.32148000e-07
  2.87414864e-04  -1.15184000e-05  1.39719000e-07
  2.91420979e-04  -1.18448000e-05  1.47720000e-07
  2.95483377e-04  -1.21805000e-05  1.56173000e-07
  2.99602059e-04  -1.25258000e-05  1.65104000e-07
  3.03778451e-04  -1.28809000e-05  1.74541000e-07
  3.08012544e-04  -1.32461000e-05  1.84512000e-07
  3.12306616e-04  -1.36217000e-05  1.95060000e-07
  3.16659908e-04  -1.40080000e-05  2.06173000e-07
  3.21073988e-04  -1.44052000e-05  2.17898000e-07
  3.25549685e-04  -1.48138000e-05  2.30273000e-07
  3.30087846e-04  -1.52340000e-05  2.43327000e-07
  3.34688442e-04  -1.56662000e-05  2.57097000e-07
  3.39354147e-04  -1.61107000e-05  2.71631000e-07
  3.44084055e-04  -1.65678000e-05  2.86974000e-07
  3.48880995e-04  -1.70380000e-05  3.03143000e-07
  3.53744016e-04  -1.75216000e-05  3.20199000e-07
  3.58675083e-04  -1.80189000e-05  3.38190000e-07
  3.63675244e-04  -1.85304000e-05  3.57164000e-07
  3.68744487e-04  -1.90565000e-05  3.77175000e-07
  3.73883845e-04  -1.95976000e-05  3.98282000e-07
  3.79095545e-04  -2.01541000e-05  4.20554000e-07
  3.84380796e-04  -2.07265000e-05  4.44032000e-07
  3.89738406e-04  -2.13152000e-05  4.68798000e-07
  3.95170737e-04  -2.19207000e-05  4.94916000e-07
  4.00679040e-04  -2.25434000e-05  5.22458000e-07
  4.06264623e-04  -2.31839000e-05  5.51501000e-07
  4.11927482e-04  -2.38427000e-05  5.82121000e-07
  4.17670331e-04  -2.45202000e-05  6.14398000e-07
  4.23491769e-04  -2.52171000e-05  6.48450000e-07
  4.29396079e-04  -2.59338000e-05  6.84351000e-07
  4.35380305e-04  -2.66710000e-05  7.22195000e-07
  4.41450475e-04  -2.74291000e-05  7.62084000e-07
  4.47603527e-04  -2.82089000e-05  8.04136000e-07
  4.53842583e-04  -2.90109000e-05  8.48476000e-07
  4.60169316e-04  -2.98357000e-05  8.95227000e-07
  4.66583735e-04  -3.06841000e-05  9.44506000e-07
  4.73087549e-04  -3.15566000e-05  9.96440000e-07
  4.79682556e-04  -3.24540000e-05  1.05119000e-06
  4.86368747e-04  -3.33770000e-05  1.10889000e-06
  4.93147964e-04  -3.43262000e-05  1.16973000e-06
  5.00022152e-04  -3.53025000e-05  1.23385000e-06
  5.06993364e-04  -3.63065000e-05  1.30140000e-06
  5.14059517e-04  -3.73391000e-05  1.37263000e-06
  5.21224742e-04  -3.84010000e-05  1.44768000e-06
  5.28491278e-04  -3.94932000e-05  1.52676000e-06
  5.35859188e-04  -4.06164000e-05  1.61011000e-06
  5.43328417e-04  -4.17716000e-05  1.69795000e-06
  5.50901233e-04  -4.29595000e-05  1.79051000e-06
  5.58580041e-04  -4.41811000e-05  1.88803000e-06
  5.66367402e-04  -4.54375000e-05  1.99079000e-06
  5.74260723e-04  -4.67294000e-05  2.09906000e-06
  5.82267914e-04  -4.80580000e-05  2.21311000e-06
  5.90383619e-04  -4.94241000e-05  2.33329000e-06
  5.98613281e-04  -5.08288000e-05  2.45992000e-06
  6.06956904e-04  -5.22731000e-05  2.59329000e-06
  6.15417408e-04  -5.37581000e-05  2.73339000e-06
  6.23997909e-04  -5.52856000e-05  2.88012000e-06
  6.32695287e-04  -5.68567000e-05  3.03557000e-06
  6.41512554e-04  -5.84721000e-05  3.19940000e-06
